language;allowance_id;theme;group_by;financing_category;financing_id;financing_label;financing_year;financing_type;budget_or_final;donor_type;allowance_label
de;10;allowances;alphabetical;Kampagnenfinanzierung;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Budgetzahlen;natürliche Person;Zuwender/in: Hug Piero, Akteur/in: GRÜNE Schweiz, Bern
de;1039;allowances;alphabetical;Kampagnenfinanzierung;8;09.06.2024 Bundesgesetz vom 29. September 2023 über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes);;campaign_financing;Budgetzahlen;natürliche Person;Zuwender/in: Schwander Achim, Akteur/in: Sozialdemokratische Partei der Schweiz, Bern
de;1042;allowances;alphabetical;Kampagnenfinanzierung;5;09.06.2024 Maximal 10 % des Einkommens für die Krankenkassenprämien (Prämien-Entlastungs-Initiative);;campaign_financing;Budgetzahlen;juristische Person oder Personengesellschaft;Zuwender/in: economiesuisse, Akteur/in: Allianz 2x Nein zu den Gesundheitsinitiativen, Bern
de;1045;allowances;alphabetical;Kampagnenfinanzierung;5;09.06.2024 Maximal 10 % des Einkommens für die Krankenkassenprämien (Prämien-Entlastungs-Initiative);;campaign_financing;Budgetzahlen;juristische Person oder Personengesellschaft;Zuwender/in: Zürcher Handelskammer, Akteur/in: Allianz 2x Nein zu den Gesundheitsinitiativen, Bern
de;1046;allowances;alphabetical;Kampagnenfinanzierung;5;09.06.2024 Maximal 10 % des Einkommens für die Krankenkassenprämien (Prämien-Entlastungs-Initiative);;campaign_financing;Budgetzahlen;juristische Person oder Personengesellschaft;Zuwender/in: KMU- und Gewerbeverband Kanton Zürich, Akteur/in: Allianz 2x Nein zu den Gesundheitsinitiativen, Bern
de;105;allowances;alphabetical;Kampagnenfinanzierung;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Budgetzahlen;juristische Person oder Personengesellschaft;Zuwender/in: Grünliberale Partei Schweiz, Akteur/in: Grünliberale Kanton Thurgau, Frauenfeld
de;1050;allowances;alphabetical;Kampagnenfinanzierung;5;09.06.2024 Maximal 10 % des Einkommens für die Krankenkassenprämien (Prämien-Entlastungs-Initiative);;campaign_financing;Budgetzahlen;juristische Person oder Personengesellschaft;Zuwender/in: Zürcher Handelskammer, Akteur/in: Allianz 2x Nein zu den Gesundheitsinitiativen, Bern
de;107;allowances;alphabetical;Kampagnenfinanzierung;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Budgetzahlen;juristische Person oder Personengesellschaft;Zuwender/in: Supporterclub der FDP.Die Liberalen Kanton Bern, Akteur/in: FDP.Die Liberalen Kanton Bern, Bern
de;1074;allowances;alphabetical;Kampagnenfinanzierung;8;09.06.2024 Bundesgesetz vom 29. September 2023 über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes);;campaign_financing;Budgetzahlen;juristische Person oder Personengesellschaft;Zuwender/in: WWF Schweiz, Akteur/in: Schweizerische Energie-Stiftung, Zürich
de;1075;allowances;alphabetical;Kampagnenfinanzierung;8;09.06.2024 Bundesgesetz vom 29. September 2023 über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes);;campaign_financing;Budgetzahlen;juristische Person oder Personengesellschaft;Zuwender/in: Volkart Stiftung, Akteur/in: Schweizerische Energie-Stiftung, Zürich
