language;declaration_id;candidate_seq;last_name;first_name;canton;party_affiliation;candidate_group
de;elections-1-B-001;1;Hegglin;Peter;Zug;Die Mitte;
de;elections-1-B-001;2;Pfister;Gerhard;Zug;Die Mitte;
de;elections-1-B-001;3;Käch;Manuela;Zug;Die Mitte;
de;elections-1-B-001;4;Rust;Peter;Zug;Die Mitte;
de;elections-1-B-001;5;Barmet;Monika;Zug;Die Mitte;
de;elections-1-B-001;6;Abramovic;Ivan;Zug;Die Mitte;
de;elections-1-B-001;7;Battiston;Gabriele;Zug;Die Mitte;
de;elections-1-B-001;8;Meierhans;Lena;Zug;Die Mitte;
de;elections-1-B-001;9;Röösli;Flavia;Zug;Die Mitte;
de;elections-1-B-001;10;Iten;Patrick;Zug;Die Mitte;
de;elections-1-B-001;11;Wiederkehr;Roger;Zug;Die Mitte;
de;elections-1-B-001;12;Kremmel;Corina;Zug;Die Mitte;
de;elections-1-B-001;13;Ebneter;Matthias;Zug;Die Mitte;
de;elections-1-B-002;1;Paganini;Nicolò;St. Gallen;Die Mitte;
de;elections-1-B-003;1;Häberli-Koller;Brigitte;Thurgau;Die Mitte;
de;elections-1-B-003;2;Stark;Jakob;Thurgau;Schweizerische Volkspartei;
de;elections-1-B-003;3;Brunner;Hansjörg;Thurgau;FDP.Die Liberalen;
de;elections-1-B-003;4;Gutjahr;Diana;Thurgau;Schweizerische Volkspartei;
de;elections-1-B-003;5;Hollenstein;Roland;Thurgau;Die Mitte;
de;elections-1-B-003;6;Leu;Thomas;Thurgau;FDP.Die Liberalen;
de;elections-1-B-003;7;Lohr;Christian;Thurgau;Die Mitte;
de;elections-1-B-003;8;Macedo;Gabriel;Thurgau;FDP.Die Liberalen;
de;elections-1-B-003;9;Mader;Christian;Thurgau;Eidgenössisch-Demokratische Union;
de;elections-1-B-003;10;Madörin;Lukas;Thurgau;Eidgenössisch-Demokratische Union;
de;elections-1-B-003;11;Schenk;Peter;Thurgau;Eidgenössisch-Demokratische Union;
de;elections-1-B-003;12;Schmid;Pascal;Thurgau;Schweizerische Volkspartei;
de;elections-1-B-003;13;Stähl;Michèle;Thurgau;FDP.Die Liberalen;
de;elections-1-B-003;14;Strupler;Manuel;Thurgau;Schweizerische Volkspartei;
de;elections-1-B-003;15;Vietze;Kristiane;Thurgau;FDP.Die Liberalen;
de;elections-1-B-004;1;Feller;Olivier;Waadt;FDP.Die Liberalen;
de;elections-1-B-005;1;Gutjahr;Diana;Thurgau;Schweizerische Volkspartei;
de;elections-1-B-005;2;Strupler;Manuel;Thurgau;Schweizerische Volkspartei;
de;elections-1-B-005;3;Schmid;Pascal;Thurgau;Schweizerische Volkspartei;
de;elections-1-B-005;4;Bachmann;Eveline;Thurgau;Schweizerische Volkspartei;
de;elections-1-B-005;5;Neuweiler;Denise;Thurgau;Schweizerische Volkspartei;
de;elections-1-B-005;6;Ricklin;Judith;Thurgau;Schweizerische Volkspartei;
de;elections-1-B-005;7;Stark;Jakob;Thurgau;Schweizerische Volkspartei;
de;elections-1-B-006;1;Schmid;Pascal;Thurgau;Schweizerische Volkspartei;
de;elections-1-B-007;1;Brahier;Amélie;Jura;Die Mitte;
de;elections-1-B-007;2;Voillat;Magali;Jura;Die Mitte;
de;elections-1-B-007;3;Froidevaux;Anne;Jura;Die Mitte;
de;elections-1-B-007;4;Corbat;Gauthier;Jura;Die Mitte;
de;elections-1-B-007;5;Piquerez;Clément;Jura;Die Mitte;
de;elections-1-B-007;6;Montavon;Aubin;Jura;Die Mitte;
de;elections-1-B-007;7;Juillard;Charles;Jura;Die Mitte;
de;elections-1-B-007;8;Monin;François;Jura;Die Mitte;
de;elections-1-B-008;1;Zuberbühler;David;Appenzell Ausserrhoden;Schweizerische Volkspartei;
de;elections-1-B-009;1;Rohrer;Sofia;Zürich;Übrige politische Parteien;
de;elections-1-B-009;2;Mitondo;Florine;Zürich;Übrige politische Parteien;
de;elections-1-B-009;3;Vareni;Dario;Zürich;Übrige politische Parteien;
de;elections-1-B-009;4;Muster;Valeria;Zürich;Übrige politische Parteien;
de;elections-1-B-009;5;Columberg;Leandra;Zürich;Übrige politische Parteien;
de;elections-1-B-009;6;Gürsoy;Selay;Zürich;Übrige politische Parteien;
de;elections-1-B-009;7;Fischer;Laura;Zürich;Übrige politische Parteien;
de;elections-1-B-009;8;Weidmann;Michi;Zürich;Übrige politische Parteien;
de;elections-1-B-009;9;Akdemir;Eda;Zürich;Übrige politische Parteien;
de;elections-1-B-009;10;Schulz;Lois;Zürich;Übrige politische Parteien;
de;elections-1-B-009;11;Stettler;Somon;Zürich;Übrige politische Parteien;
de;elections-1-B-009;12;Witzig;Dimitri;Zürich;Übrige politische Parteien;
de;elections-1-B-009;13;Frauchiger;Anna Luna;Zürich;Übrige politische Parteien;
de;elections-1-B-009;14;Voss;Pia;Zürich;Übrige politische Parteien;
