language;campaign_id;form_id;theme;group_by;financing_id;financing_label;financing_year;financing_type;actor_category;actor_id;actor_label;campaign_tree_id;campaign_label;form_label;download_path;budget_or_final;campaign_for;canton;party;financing_category
de;1;1;campaign_financings;all;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Juristische Personen oder Personengesellschaften;46;Die Mitte Kanton Zug, Rotkreuz;1;Unterstützte Kandidierende: 13 (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);Offenlegung der budgetierten Einnahmen;/api/frontend/latest/de/downloads/campaigns/1/forms/1;Budgetzahlen;Gruppe von Kandidierenden (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);Zug;Die Mitte;Kampagnenfinanzierung
de;1;2;campaign_financings;all;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Juristische Personen oder Personengesellschaften;46;Die Mitte Kanton Zug, Rotkreuz;1;Unterstützte Kandidierende: 13 (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);Offenlegung von Zuwendungen über 15 000 Franken;/api/frontend/latest/de/downloads/campaigns/1/forms/2;Budgetzahlen;Gruppe von Kandidierenden (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);Zug;Die Mitte;Kampagnenfinanzierung
de;1;5;campaign_financings;all;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Juristische Personen oder Personengesellschaften;46;Die Mitte Kanton Zug, Rotkreuz;1;Unterstützte Kandidierende: 13 (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);Offenlegung der Schlussrechnung über die Einnahmen;/api/frontend/latest/de/downloads/campaigns/1/forms/5;Definitive Zahlen;Gruppe von Kandidierenden (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);Zug;Die Mitte;Kampagnenfinanzierung
de;1;6;campaign_financings;all;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Juristische Personen oder Personengesellschaften;46;Die Mitte Kanton Zug, Rotkreuz;1;Unterstützte Kandidierende: 13 (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);Offenlegung von Zuwendungen über 15 000 Franken (Schlussrechnung);/api/frontend/latest/de/downloads/campaigns/1/forms/6;Definitive Zahlen;Gruppe von Kandidierenden (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);Zug;Die Mitte;Kampagnenfinanzierung
de;10;1;campaign_financings;all;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Juristische Personen oder Personengesellschaften;16;Schweizerische Volkspartei von Appenzell Ausserrhoden, Schönengrund;10;Zuberbühler David (Appenzell Ausserrhoden, Schweizerische Volkspartei);Offenlegung der budgetierten Einnahmen;/api/frontend/latest/de/downloads/campaigns/10/forms/1;Budgetzahlen;Einzelperson;Appenzell Ausserrhoden;Schweizerische Volkspartei;Kampagnenfinanzierung
de;10;2;campaign_financings;all;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Juristische Personen oder Personengesellschaften;16;Schweizerische Volkspartei von Appenzell Ausserrhoden, Schönengrund;10;Zuberbühler David (Appenzell Ausserrhoden, Schweizerische Volkspartei);Offenlegung von Zuwendungen über 15 000 Franken;/api/frontend/latest/de/downloads/campaigns/10/forms/2;Budgetzahlen;Einzelperson;Appenzell Ausserrhoden;Schweizerische Volkspartei;Kampagnenfinanzierung
de;10;5;campaign_financings;all;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Juristische Personen oder Personengesellschaften;16;Schweizerische Volkspartei von Appenzell Ausserrhoden, Schönengrund;10;Zuberbühler David (Appenzell Ausserrhoden, Schweizerische Volkspartei);Offenlegung der Schlussrechnung über die Einnahmen;/api/frontend/latest/de/downloads/campaigns/10/forms/5;Definitive Zahlen;Einzelperson;Appenzell Ausserrhoden;Schweizerische Volkspartei;Kampagnenfinanzierung
de;10;6;campaign_financings;all;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Juristische Personen oder Personengesellschaften;16;Schweizerische Volkspartei von Appenzell Ausserrhoden, Schönengrund;10;Zuberbühler David (Appenzell Ausserrhoden, Schweizerische Volkspartei);Offenlegung von Zuwendungen über 15 000 Franken (Schlussrechnung);/api/frontend/latest/de/downloads/campaigns/10/forms/6;Definitive Zahlen;Einzelperson;Appenzell Ausserrhoden;Schweizerische Volkspartei;Kampagnenfinanzierung
de;100;1;campaign_financings;all;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Juristische Personen oder Personengesellschaften;173;Schweizerische Volkspartei Baselland, Liestal;100;Unterstützte Kandidierende: 7 (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);Offenlegung der budgetierten Einnahmen;/api/frontend/latest/de/downloads/campaigns/100/forms/1;Budgetzahlen;Gruppe von Kandidierenden (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);Basel-Landschaft;Schweizerische Volkspartei;Kampagnenfinanzierung
de;100;5;campaign_financings;all;1;22.10.2023 Nationalratswahlen 2023;2023;campaign_financing;Juristische Personen oder Personengesellschaften;173;Schweizerische Volkspartei Baselland, Liestal;100;Unterstützte Kandidierende: 7 (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);Offenlegung der Schlussrechnung über die Einnahmen;/api/frontend/latest/de/downloads/campaigns/100/forms/5;Definitive Zahlen;Gruppe von Kandidierenden (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);Basel-Landschaft;Schweizerische Volkspartei;Kampagnenfinanzierung
