language;campaign_tree_id;candidate_label;party;canton;campaign_for;financing_id;financing_label
de;1;Unterstützte Kandidierende: 13 (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden), Akteur/in: Die Mitte Kanton Zug, Rotkreuz;Die Mitte;Zug;Gruppe von Kandidierenden (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);1;22.10.2023 Nationalratswahlen 2023
de;10;Zuberbühler David (Appenzell Ausserrhoden, Schweizerische Volkspartei), Akteur/in: Schweizerische Volkspartei von Appenzell Ausserrhoden, Schönengrund;Schweizerische Volkspartei;Appenzell Ausserrhoden;Einzelperson;1;22.10.2023 Nationalratswahlen 2023
de;100;Unterstützte Kandidierende: 7 (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden), Akteur/in: Schweizerische Volkspartei Baselland, Liestal;Schweizerische Volkspartei;Basel-Landschaft;Gruppe von Kandidierenden (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);1;22.10.2023 Nationalratswahlen 2023
de;101;Schneeberger Daniela (Basel-Landschaft, FDP.Die Liberalen), Akteur/in: Schneeberger Daniela, Thürnen;FDP.Die Liberalen;Basel-Landschaft;Einzelperson;1;22.10.2023 Nationalratswahlen 2023
de;102;Unterstützte Kandidierende: 10 (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden), Akteur/in: Parti libéral-radical neuchâtelois, Neuchâtel;FDP.Die Liberalen;Neuenburg;Gruppe von Kandidierenden (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);1;22.10.2023 Nationalratswahlen 2023
de;103;Nantermod Philippe (Wallis, FDP.Die Liberalen), Akteur/in: Association libérale-radicale des districts de Monthey et de St-Maurice, Vouvry;FDP.Die Liberalen;Wallis;Einzelperson;1;22.10.2023 Nationalratswahlen 2023
de;104;Brunner Hansjörg (Thurgau, FDP.Die Liberalen), Akteur/in: Brunner Hansjörg, Wallenwil;FDP.Die Liberalen;Thurgau;Einzelperson;1;22.10.2023 Nationalratswahlen 2023
de;105;Unterstützte Kandidierende: 12 (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden), Akteur/in: FDP.Die Liberalen Kanton Solothurn, Solothurn;FDP.Die Liberalen;Solothurn;Gruppe von Kandidierenden (namentliche Auflistung in untenstehender Meldung der Einnahmen vorhanden);1;22.10.2023 Nationalratswahlen 2023
de;106;Matter Thomas (Zürich, Schweizerische Volkspartei), Akteur/in: Matter Thomas, Meilen;Schweizerische Volkspartei;Zürich;Einzelperson;1;22.10.2023 Nationalratswahlen 2023
de;107;Martullo Magdalena (Graubünden, Schweizerische Volkspartei), Akteur/in: Martullo Magdalena, Meilen;Schweizerische Volkspartei;Graubünden;Einzelperson;1;22.10.2023 Nationalratswahlen 2023
