language;financing_id;financing_type;label;year;date
de;1;campaign_financing;22.10.2023 Nationalratswahlen 2023;2023;22.10.2023
de;10;campaign_financing;22.09.2024 Für die Zukunft unserer Natur und Landschaft (Biodiversitätsinitiative);;22.09.2024
de;11;campaign_financing;22.09.2024 Bundesgesetzes über die berufliche Alters-, Hinterlassenen- und Invalidenvorsorge (BVG) (Reform der beruflichen Vorsorge);;22.09.2024
de;12;campaign_financing;24.11.2024 Bundesbeschluss vom 29. September 2023 über den Ausbauschritt 2023 für die Nationalstrassen;2024;24.11.2024
de;13;campaign_financing;24.11.2024 Änderung vom 29. September 2023 des Obligationenrechts (Mietrecht: Untermiete);;24.11.2024
de;14;campaign_financing;24.11.2024 Änderung vom 29. September 2023 des Obligationenrechts (Mietrecht: Kündigung wegen Eigenbedarfs);;24.11.2024
de;15;campaign_financing;24.11.2024 Änderung vom 22. Dezember 2023 des Bundesgesetzes über die Krankenversicherung (Einheitliche Finanzierung der Leistungen);;24.11.2024
de;16;campaign_financing;09.02.2025 Für eine verantwortungsvolle Wirtschaft innerhalb der planetaren Grenzen (Umweltverantwortungsinitiative);;09.02.2025
de;18;campaign_financing;28.09.2025 Bundesbeschluss vom 20. Dezember 2024 über die kantonalen Liegenschaftssteuern auf Zweitliegenschaften;;28.09.2025
de;19;campaign_financing;28.09.2025 Bundesgesetz vom 20. Dezember 2024 über den elektronischen Identitätsnachweis und andere elektronische Nachweise (E-ID-Gesetz, BGEID);;28.09.2025
de;2;campaign_financing;22.10.2023 Ständeratswahlen 2023;;22.10.2023
de;20;campaign_financing;30.11.2025 Für eine engagierte Schweiz (Service-citoyen-Initiative);2025;30.11.2025
de;21;campaign_financing;30.11.2025 Für eine soziale Klimapolitik – steuerlich gerecht finanziert (Initiative für eine Zukunft);;30.11.2025
de;22;campaign_financing;29.06.2025 Ständeratswahl (Schaffhausen);;29.06.2025
de;23;campaign_financing;08.03.2026 Ja zu einer unabhängigen, freien Schweizer Währung mit Münzen oder Banknoten (Bargeld ist Freiheit) und direkter Gegenentwurf Bundesbeschluss über die schweizerische Währung und die Bargeldversorgung;;08.03.2026
de;24;campaign_financing;08.03.2026 200 Franken sind genug! (SRG-Initiative);;08.03.2026
de;25;campaign_financing;08.03.2026 Für eine gerechte Energie- und Klimapolitik: Investieren für Wohlstand, Arbeit und Umwelt (Klimafonds-Initiative);;08.03.2026
de;26;campaign_financing;08.03.2026 Bundesgesetz vom 20. Juni 2025 über die Individualbesteuerung;;08.03.2026
de;27;campaign_financing;08.03.2026 Nationalratswahl (Appenzell Ausserrhoden);;08.03.2026
de;28;campaign_financing;14.06.2026 Keine 10-Millionen-Schweiz! (Nachhaltigkeitsinitiative);;14.06.2026
de;29;campaign_financing;14.06.2026 Änderung vom 26. September 2025 des Bundesgesetzes über den zivilen Ersatzdienst (Zivildienstgesetz, ZDG);;14.06.2026
de;3;campaign_financing;03.03.2024 Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente);;03.03.2024
de;31;campaign_financing;27.09.2026 Wahrung der schweizerischen Neutralität (Neutralitätsinitiative);2026;27.09.2026
de;32;campaign_financing;27.09.2026 Für eine sichere Ernährung – durch Stärkung einer nachhaltigen inländischen Produktion, mehr pflanzliche Lebensmittel und sauberes Trinkwasser (Ernährungsinitiative);;27.09.2026
de;4;campaign_financing;03.03.2024 Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative);;03.03.2024
de;5;campaign_financing;09.06.2024 Maximal 10 % des Einkommens für die Krankenkassenprämien (Prämien-Entlastungs-Initiative);;09.06.2024
de;6;campaign_financing;09.06.2024 Für tiefere Prämien – Kostenbremse im Gesundheitswesen (Kostenbremse-Initiative);;09.06.2024
de;7;campaign_financing;09.06.2024 Für Freiheit und körperliche Unversehrtheit;;09.06.2024
de;8;campaign_financing;09.06.2024 Bundesgesetz vom 29. September 2023 über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes);;09.06.2024
de;17;party_financing;2024;;
de;9;party_financing;2023;;
