language;allowance_id;theme;group_by;financing_category;financing_id;financing_label;financing_year;financing_type;budget_or_final;donor_type;allowance_label
fr;10;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants budgétés;personne physique;Donateur/trice: Hug Piero, Acteur/trice: Les VERT-E-S suisses, Berne
fr;1039;allowances;alphabetical;Financement des campagnes;8;09.06.2024 Loi fédérale du 29 septembre 2023 relative à un approvisionnement en électricité sûr reposant sur des énergies renouvelables (modification de la loi sur l’énergie et de la loi sur l’approvisionnement en électricité);;campaign_financing;Montants budgétés;personne physique;Donateur/trice: Schwander Achim, Acteur/trice: Sozialdemokratische Partei der Schweiz, Bern
fr;1042;allowances;alphabetical;Financement des campagnes;5;09.06.2024 Maximum 10 % du revenu pour les primes d’assurance-maladie (initiative d’allègement des primes);;campaign_financing;Montants budgétés;personne morale ou société de personnes;Donateur/trice: economiesuisse, Acteur/trice: Allianz 2x Nein zu den Gesundheitsinitiativen, Bern
fr;1045;allowances;alphabetical;Financement des campagnes;5;09.06.2024 Maximum 10 % du revenu pour les primes d’assurance-maladie (initiative d’allègement des primes);;campaign_financing;Montants budgétés;personne morale ou société de personnes;Donateur/trice: Zürcher Handelskammer, Acteur/trice: Allianz 2x Nein zu den Gesundheitsinitiativen, Bern
fr;1046;allowances;alphabetical;Financement des campagnes;5;09.06.2024 Maximum 10 % du revenu pour les primes d’assurance-maladie (initiative d’allègement des primes);;campaign_financing;Montants budgétés;personne morale ou société de personnes;Donateur/trice: KMU- und Gewerbeverband Kanton Zürich, Acteur/trice: Allianz 2x Nein zu den Gesundheitsinitiativen, Bern
fr;105;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants budgétés;personne morale ou société de personnes;Donateur/trice: Grünliberale Partei Schweiz, Acteur/trice: Grünliberale Kanton Thurgau, Frauenfeld
fr;1050;allowances;alphabetical;Financement des campagnes;5;09.06.2024 Maximum 10 % du revenu pour les primes d’assurance-maladie (initiative d’allègement des primes);;campaign_financing;Montants budgétés;personne morale ou société de personnes;Donateur/trice: Zürcher Handelskammer, Acteur/trice: Allianz 2x Nein zu den Gesundheitsinitiativen, Bern
fr;107;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants budgétés;personne morale ou société de personnes;Donateur/trice: Supporterclub der FDP.Die Liberalen Kanton Bern, Acteur/trice: FDP.Die Liberalen Kanton Bern, Bern
fr;1074;allowances;alphabetical;Financement des campagnes;8;09.06.2024 Loi fédérale du 29 septembre 2023 relative à un approvisionnement en électricité sûr reposant sur des énergies renouvelables (modification de la loi sur l’énergie et de la loi sur l’approvisionnement en électricité);;campaign_financing;Montants budgétés;personne morale ou société de personnes;Donateur/trice: WWF Schweiz, Acteur/trice: Fondation Suisse de l'Energie, Zurich
fr;1075;allowances;alphabetical;Financement des campagnes;8;09.06.2024 Loi fédérale du 29 septembre 2023 relative à un approvisionnement en électricité sûr reposant sur des énergies renouvelables (modification de la loi sur l’énergie et de la loi sur l’approvisionnement en électricité);;campaign_financing;Montants budgétés;personne morale ou société de personnes;Donateur/trice: Volkart Stiftung, Acteur/trice: Fondation Suisse de l'Energie, Zurich
