language;declaration_id;candidate_seq;last_name;first_name;canton;party_affiliation;candidate_group
fr;elections-1-B-001;1;Hegglin;Peter;Zoug;Le Centre;
fr;elections-1-B-001;2;Pfister;Gerhard;Zoug;Le Centre;
fr;elections-1-B-001;3;Käch;Manuela;Zoug;Le Centre;
fr;elections-1-B-001;4;Rust;Peter;Zoug;Le Centre;
fr;elections-1-B-001;5;Barmet;Monika;Zoug;Le Centre;
fr;elections-1-B-001;6;Abramovic;Ivan;Zoug;Le Centre;
fr;elections-1-B-001;7;Battiston;Gabriele;Zoug;Le Centre;
fr;elections-1-B-001;8;Meierhans;Lena;Zoug;Le Centre;
fr;elections-1-B-001;9;Röösli;Flavia;Zoug;Le Centre;
fr;elections-1-B-001;10;Iten;Patrick;Zoug;Le Centre;
fr;elections-1-B-001;11;Wiederkehr;Roger;Zoug;Le Centre;
fr;elections-1-B-001;12;Kremmel;Corina;Zoug;Le Centre;
fr;elections-1-B-001;13;Ebneter;Matthias;Zoug;Le Centre;
fr;elections-1-B-002;1;Paganini;Nicolò;Saint-Gall;Le Centre;
fr;elections-1-B-003;1;Häberli-Koller;Brigitte;Thurgovie;Le Centre;
fr;elections-1-B-003;2;Stark;Jakob;Thurgovie;Union Démocratique du Centre;
fr;elections-1-B-003;3;Brunner;Hansjörg;Thurgovie;PLR.Les Libéraux-Radicaux;
fr;elections-1-B-003;4;Gutjahr;Diana;Thurgovie;Union Démocratique du Centre;
fr;elections-1-B-003;5;Hollenstein;Roland;Thurgovie;Le Centre;
fr;elections-1-B-003;6;Leu;Thomas;Thurgovie;PLR.Les Libéraux-Radicaux;
fr;elections-1-B-003;7;Lohr;Christian;Thurgovie;Le Centre;
fr;elections-1-B-003;8;Macedo;Gabriel;Thurgovie;PLR.Les Libéraux-Radicaux;
fr;elections-1-B-003;9;Mader;Christian;Thurgovie;Union Démocratique Féderale;
fr;elections-1-B-003;10;Madörin;Lukas;Thurgovie;Union Démocratique Féderale;
fr;elections-1-B-003;11;Schenk;Peter;Thurgovie;Union Démocratique Féderale;
fr;elections-1-B-003;12;Schmid;Pascal;Thurgovie;Union Démocratique du Centre;
fr;elections-1-B-003;13;Stähl;Michèle;Thurgovie;PLR.Les Libéraux-Radicaux;
fr;elections-1-B-003;14;Strupler;Manuel;Thurgovie;Union Démocratique du Centre;
fr;elections-1-B-003;15;Vietze;Kristiane;Thurgovie;PLR.Les Libéraux-Radicaux;
fr;elections-1-B-004;1;Feller;Olivier;Vaud;PLR.Les Libéraux-Radicaux;
fr;elections-1-B-005;1;Gutjahr;Diana;Thurgovie;Union Démocratique du Centre;
fr;elections-1-B-005;2;Strupler;Manuel;Thurgovie;Union Démocratique du Centre;
fr;elections-1-B-005;3;Schmid;Pascal;Thurgovie;Union Démocratique du Centre;
fr;elections-1-B-005;4;Bachmann;Eveline;Thurgovie;Union Démocratique du Centre;
fr;elections-1-B-005;5;Neuweiler;Denise;Thurgovie;Union Démocratique du Centre;
fr;elections-1-B-005;6;Ricklin;Judith;Thurgovie;Union Démocratique du Centre;
fr;elections-1-B-005;7;Stark;Jakob;Thurgovie;Union Démocratique du Centre;
fr;elections-1-B-006;1;Schmid;Pascal;Thurgovie;Union Démocratique du Centre;
fr;elections-1-B-007;1;Brahier;Amélie;Jura;Le Centre;
fr;elections-1-B-007;2;Voillat;Magali;Jura;Le Centre;
fr;elections-1-B-007;3;Froidevaux;Anne;Jura;Le Centre;
fr;elections-1-B-007;4;Corbat;Gauthier;Jura;Le Centre;
fr;elections-1-B-007;5;Piquerez;Clément;Jura;Le Centre;
fr;elections-1-B-007;6;Montavon;Aubin;Jura;Le Centre;
fr;elections-1-B-007;7;Juillard;Charles;Jura;Le Centre;
fr;elections-1-B-007;8;Monin;François;Jura;Le Centre;
fr;elections-1-B-008;1;Zuberbühler;David;Appenzell Rh.-Ext.;Union Démocratique du Centre;
fr;elections-1-B-009;1;Rohrer;Sofia;Zurich;Autres partis politiques;
fr;elections-1-B-009;2;Mitondo;Florine;Zurich;Autres partis politiques;
fr;elections-1-B-009;3;Vareni;Dario;Zurich;Autres partis politiques;
fr;elections-1-B-009;4;Muster;Valeria;Zurich;Autres partis politiques;
fr;elections-1-B-009;5;Columberg;Leandra;Zurich;Autres partis politiques;
fr;elections-1-B-009;6;Gürsoy;Selay;Zurich;Autres partis politiques;
fr;elections-1-B-009;7;Fischer;Laura;Zurich;Autres partis politiques;
fr;elections-1-B-009;8;Weidmann;Michi;Zurich;Autres partis politiques;
fr;elections-1-B-009;9;Akdemir;Eda;Zurich;Autres partis politiques;
fr;elections-1-B-009;10;Schulz;Lois;Zurich;Autres partis politiques;
fr;elections-1-B-009;11;Stettler;Somon;Zurich;Autres partis politiques;
fr;elections-1-B-009;12;Witzig;Dimitri;Zurich;Autres partis politiques;
fr;elections-1-B-009;13;Frauchiger;Anna Luna;Zurich;Autres partis politiques;
fr;elections-1-B-009;14;Voss;Pia;Zurich;Autres partis politiques;
fr;elections-1-B-009;15;Muggli;Silas;Zurich;Autres partis politiques;
fr;elections-1-B-009;16;Wiesendanger;Alina;Zurich;Autres partis politiques;
fr;elections-1-B-009;17;Lohrer;Saamel;Zurich;Autres partis politiques;
fr;elections-1-B-009;18;Semenova;Daria;Zurich;Autres partis politiques;
fr;elections-1-B-009;19;Sharabi;Rebecca;Zurich;Autres partis politiques;
fr;elections-1-B-009;20;Siegfried;Wanda;Zurich;Autres partis politiques;
fr;elections-1-B-009;21;Bosshard;Leonardo;Zurich;Autres partis politiques;
fr;elections-1-B-009;22;Onambele;Alma;Zurich;Autres partis politiques;
fr;elections-1-B-009;23;Bono;Chiara;Zurich;Autres partis politiques;
fr;elections-1-B-009;24;Löffler;Alicia;Zurich;Autres partis politiques;
fr;elections-1-B-009;25;Landau;Ben;Zurich;Autres partis politiques;
fr;elections-1-B-009;26;Wehrli;Finn;Zurich;Autres partis politiques;
fr;elections-1-B-009;27;Forestier;Sarina;Zurich;Autres partis politiques;
fr;elections-1-B-009;28;Suter;Jan;Zurich;Autres partis politiques;
fr;elections-1-B-009;29;Rüegg;Rafael;Zurich;Autres partis politiques;
fr;elections-1-B-009;30;Nater;Nora;Zurich;Autres partis politiques;
fr;elections-1-B-009;31;Käser;Lukas;Zurich;Autres partis politiques;
fr;elections-1-B-009;32;Speer;Jelena;Zurich;Autres partis politiques;
fr;elections-1-B-009;33;Lusti;Gian;Zurich;Autres partis politiques;
fr;elections-1-B-009;34;Hammad;Nevin;Zurich;Parti socialiste suisse;
fr;elections-1-B-009;35;Siegrist;Nicola;Zurich;Parti socialiste suisse;
fr;elections-1-B-009;36;Yildiz;Efe;Zurich;Parti socialiste suisse;
fr;elections-1-B-010;1;Borer-Mathys;Barbara;Argovie;Union Démocratique du Centre;
fr;elections-1-B-011;1;Giezendanner;Benjamin;Argovie;Union Démocratique du Centre;
fr;elections-1-B-011;2;Glarner;Andreas;Argovie;Union Démocratique du Centre;
fr;elections-1-B-011;3;Burgherr;Thomas;Argovie;Parti évangélique suisse;
fr;elections-1-B-011;4;Bircher;Martina;Argovie;Union Démocratique du Centre;
fr;elections-1-B-011;5;Heimgartner;Stefanie;Argovie;Union Démocratique du Centre;
fr;elections-1-B-011;6;Huber;Alois;Argovie;Union Démocratique du Centre;
fr;elections-1-B-011;7;Riner;Christoph;Argovie;Union Démocratique du Centre;
fr;elections-1-B-011;8;Glur;Christian;Argovie;Union Démocratique du Centre;
fr;elections-1-B-011;9;Hagenbuch;Christoph;Argovie;Union Démocratique du Centre;
fr;elections-1-B-011;10;Stutz;Désirée;Argovie;Union Démocratique du Centre;
fr;elections-1-B-011;11;Barp;Miro;Argovie;Union Démocratique du Centre;
fr;elections-1-B-011;12;Borer-Mathys;Barbara;Argovie;Union Démocratique du Centre;
fr;elections-1-B-011;13;Burger;Nicole;Argovie;Union Démocratique du Centre;
