declaration_id;candidate_count;candidate_party;candidate_canton;language;category;financing_id;with_budget;event_label;event_year;event_date;source_path;file_sha256;data_status;disclosure_run;date;actor_id;actor;actor_type;campaign_id;campaign;campaign_for;form_id;disclosure_report;total_income_chf;monetary_donations_chf;nonmonetary_donations_value_chf;event_income_chf;goods_services_income_chf;monetary_own_funds_chf;membership_fees_chf;mandate_contributions_income_chf
elections-1-F-001;13;Le Centre;Zoug;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Die Mitte Kanton Zug;Personne morale ou société de personnes;;Hegglin Peter (Zoug, Le Centre), Pfister Gerhard (Zoug, Le Centre), Käch Manuela (Zoug, Le Centre), Rust Peter (Zoug, Le Centre), Barmet Monika (Zoug, Le Centre), Abramovic Ivan (Zoug, Le Centre), Battiston Gabriele (Zoug, Le Centre), Meierhans Lena (Zoug, Le Centre), Röösli Flavia (Zoug, Le Centre), Iten Patrick (Zoug, Le Centre), Wiederkehr Roger (Zoug, Le Centre), Kremmel Corina (Zoug, Le Centre), Ebneter Matthias (Zoug, Le Centre);Groupe de personnes candidates (liste nominative);;Déclaration du décompte final des recettes;180121.1;143128.75;0.0;0.0;0.0;36992.35;;
elections-1-F-002;1;Le Centre;Saint-Gall;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Paganini Nicolò;Personne physique;;Paganini Nicolò (Saint-Gall, Le Centre);Personne individuelle;;Déclaration du décompte final des recettes;72660.0;69584.65;3075.35;0.0;0.0;0.0;;
elections-1-F-003;15;;Thurgovie;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Thurgauer Gewerbeverband;Personne morale ou société de personnes;;Häberli-Koller Brigitte (Thurgovie, Le Centre), Stark Jakob (Thurgovie, Union Démocratique du Centre), Brunner Hansjörg (Thurgovie, PLR.Les Libéraux-Radicaux), Gutjahr Diana (Thurgovie, Union Démocratique du Centre), Hollenstein Roland (Thurgovie, Le Centre), Leu Thomas (Thurgovie, PLR.Les Libéraux-Radicaux), Lohr Christian (Thurgovie, Le Centre), Macedo Gabriel (Thurgovie, PLR.Les Libéraux-Radicaux), Mader Christian (Thurgovie, Union Démocratique Féderale), Madörin Lukas (Thurgovie, Union Démocratique Féderale), Schenk Peter (Thurgovie, Union Démocratique Féderale), Schmid Pascal (Thurgovie, Union Démocratique du Centre), Stähl Michèle (Thurgovie, PLR.Les Libéraux-Radicaux), Strupler Manuel (Thurgovie, Union Démocratique du Centre), Vietze Kristiane (Thurgovie, PLR.Les Libéraux-Radicaux);Groupe de personnes candidates (liste nominative);;Déclaration du décompte final des recettes;82860.0;0.0;0.0;0.0;0.0;82860.0;;
elections-1-F-004;1;PLR.Les Libéraux-Radicaux;Vaud;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Feller Olivier;Personne physique;;Feller Olivier (Vaud, PLR.Les Libéraux-Radicaux);Personne individuelle;;Déclaration du décompte final des recettes;190597.75;101990.0;20725.0;0.0;0.0;67882.75;;
elections-1-F-005;7;Union Démocratique du Centre;Thurgovie;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Schweizerische Volkspartei des Kantons Thurgau;Personne morale ou société de personnes;;Gutjahr Diana (Thurgovie, Union Démocratique du Centre), Strupler Manuel (Thurgovie, Union Démocratique du Centre), Schmid Pascal (Thurgovie, Union Démocratique du Centre), Bachmann Eveline (Thurgovie, Union Démocratique du Centre), Neuweiler Denise (Thurgovie, Union Démocratique du Centre), Ricklin Judith (Thurgovie, Union Démocratique du Centre), Stark Jakob (Thurgovie, Union Démocratique du Centre);Groupe de personnes candidates (liste nominative);;Déclaration du décompte final des recettes;229508.13;191758.3;0.0;0.0;0.0;37749.83;;
elections-1-F-006;1;Union Démocratique du Centre;Thurgovie;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Schmid Pascal;Personne physique;;Schmid Pascal (Thurgovie, Union Démocratique du Centre);Personne individuelle;;Déclaration du décompte final des recettes;181538.5;156538.5;10000.0;0.0;0.0;15000.0;;
elections-1-F-007;8;Le Centre;Jura;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Le Centre Jura;Personne morale ou société de personnes;;Brahier Amélie (Jura, Le Centre), Voillat Magali (Jura, Le Centre), Froidevaux Anne (Jura, Le Centre), Corbat Gauthier (Jura, Le Centre), Piquerez Clément (Jura, Le Centre), Montavon Aubin (Jura, Le Centre), Juillard Charles (Jura, Le Centre), Monin François (Jura, Le Centre);Groupe de personnes candidates (liste nominative);;Déclaration du décompte final des recettes;69713.05;22688.5;0.0;0.0;0.0;47024.55;;
elections-1-F-008;1;Union Démocratique du Centre;Appenzell Rh.-Ext.;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Schweizerische Volkspartei von Appenzell Ausserrhoden;Personne morale ou société de personnes;;Zuberbühler David (Appenzell Rh.-Ext., Union Démocratique du Centre);Personne individuelle;;Déclaration du décompte final des recettes;74890.0;59200.0;15690.0;0.0;0.0;0.0;;
elections-1-F-009;36;;Zurich;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Jungsozialist*innen des Kantons Zürich;Personne morale ou société de personnes;;Rohrer Sofia (Zurich, Autres partis politiques), Mitondo Florine (Zurich, Autres partis politiques), Vareni Dario (Zurich, Autres partis politiques), Muster Valeria (Zurich, Autres partis politiques), Columberg Leandra (Zurich, Autres partis politiques), Gürsoy Selay (Zurich, Autres partis politiques), Fischer Laura (Zurich, Autres partis politiques), Weidmann Michi (Zurich, Autres partis politiques), Akdemir Eda (Zurich, Autres partis politiques), Schulz Lois (Zurich, Autres partis politiques), Stettler Somon (Zurich, Autres partis politiques), Witzig Dimitri (Zurich, Autres partis politiques), Frauchiger Anna Luna (Zurich, Autres partis politiques), Voss Pia (Zurich, Autres partis politiques), Muggli Silas (Zurich, Autres partis politiques), Wiesendanger Alina (Zurich, Autres partis politiques), Lohrer Saamel (Zurich, Autres partis politiques), Semenova Daria (Zurich, Autres partis politiques), Sharabi Rebecca (Zurich, Autres partis politiques), Siegfried Wanda (Zurich, Autres partis politiques), Bosshard Leonardo (Zurich, Autres partis politiques), Onambele Alma (Zurich, Autres partis politiques), Bono Chiara (Zurich, Autres partis politiques), Löffler Alicia (Zurich, Autres partis politiques), Landau Ben (Zurich, Autres partis politiques), Wehrli Finn (Zurich, Autres partis politiques), Forestier Sarina (Zurich, Autres partis politiques), Suter Jan (Zurich, Autres partis politiques), Rüegg Rafael (Zurich, Autres partis politiques), Nater Nora (Zurich, Autres partis politiques), Käser Lukas (Zurich, Autres partis politiques), Speer Jelena (Zurich, Autres partis politiques), Lusti Gian (Zurich, Autres partis politiques), Hammad Nevin (Zurich, Parti socialiste suisse), Siegrist Nicola (Zurich, Parti socialiste suisse), Yildiz Efe (Zurich, Parti socialiste suisse);Groupe de personnes candidates (liste nominative);;Déclaration du décompte final des recettes;87022.22;77765.76;0.0;1347.74;4013.3;3895.42;;
elections-1-F-010;1;Union Démocratique du Centre;Argovie;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Borer-Mathys Barbara;Personne physique;;Borer-Mathys Barbara (Argovie, Union Démocratique du Centre);Personne individuelle;;Déclaration du décompte final des recettes;80000.0;42000.0;0.0;7000.0;0.0;31000.0;;
