language;theme;group_by;financing_id;financing_label;financing_year;financing_type;actor_category;actor_id;actor_label;campaign_tree_id;campaign_label;form_id;campaign_id;form_label;download_path;budget_or_final;campaign_for;canton;party;financing_category
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes physiques;1;Paganini Nicolò, Abtwil;2;Paganini Nicolò (Saint-Gall, Le Centre);1;2;Déclaration des recettes budgétées;/api/frontend/latest/fr/downloads/campaigns/2/forms/1;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes physiques;1;Paganini Nicolò, Abtwil;2;Paganini Nicolò (Saint-Gall, Le Centre);2;2;Déclaration de libéralités supérieures à 15 000 francs;/api/frontend/latest/fr/downloads/campaigns/2/forms/2;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes physiques;1;Paganini Nicolò, Abtwil;2;Paganini Nicolò (Saint-Gall, Le Centre);5;2;Déclaration du décompte final des recettes;/api/frontend/latest/fr/downloads/campaigns/2/forms/5;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes physiques;10;Martullo Magdalena, Meilen;107;Martullo Magdalena (Grisons, Union Démocratique du Centre);1;107;Déclaration des recettes budgétées;/api/frontend/latest/fr/downloads/campaigns/107/forms/1;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes physiques;10;Martullo Magdalena, Meilen;107;Martullo Magdalena (Grisons, Union Démocratique du Centre);5;107;Déclaration du décompte final des recettes;/api/frontend/latest/fr/downloads/campaigns/107/forms/5;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes physiques;101;Brodard Claude, Le Mouret;28;Brodard Claude (Fribourg, PLR.Les Libéraux-Radicaux);1;28;Déclaration des recettes budgétées;/api/frontend/latest/fr/downloads/campaigns/28/forms/1;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes physiques;101;Brodard Claude, Le Mouret;28;Brodard Claude (Fribourg, PLR.Les Libéraux-Radicaux);5;28;Déclaration du décompte final des recettes;/api/frontend/latest/fr/downloads/campaigns/28/forms/5;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;102;Campax, Zürich;94;Candidats/candidates soutenu(e-s): 8 (liste nominative, voir déclaration des recettes ci-dessous);1;94;Déclaration des recettes budgétées;/api/frontend/latest/fr/downloads/campaigns/94/forms/1;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;102;Campax, Zürich;94;Candidats/candidates soutenu(e-s): 8 (liste nominative, voir déclaration des recettes ci-dessous);5;94;Déclaration du décompte final des recettes;/api/frontend/latest/fr/downloads/campaigns/94/forms/5;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes physiques;104;Brunner Susanne, Zürich;57;Brunner Susanne (Zurich, Union Démocratique du Centre);1;57;Déclaration des recettes budgétées;/api/frontend/latest/fr/downloads/campaigns/57/forms/1;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes physiques;104;Brunner Susanne, Zürich;57;Brunner Susanne (Zurich, Union Démocratique du Centre);5;57;Déclaration du décompte final des recettes;/api/frontend/latest/fr/downloads/campaigns/57/forms/5;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;105;Schweizerische Volkspartei Oberwallis, Brig;144;Candidats/candidates soutenu(e-s): 17 (liste nominative, voir déclaration des recettes ci-dessous);1;144;Déclaration des recettes budgétées;/api/frontend/latest/fr/downloads/campaigns/144/forms/1;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;105;Schweizerische Volkspartei Oberwallis, Brig;144;Candidats/candidates soutenu(e-s): 17 (liste nominative, voir déclaration des recettes ci-dessous);2;144;Déclaration de libéralités supérieures à 15 000 francs;/api/frontend/latest/fr/downloads/campaigns/144/forms/2;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;105;Schweizerische Volkspartei Oberwallis, Brig;144;Candidats/candidates soutenu(e-s): 17 (liste nominative, voir déclaration des recettes ci-dessous);5;144;Déclaration du décompte final des recettes;/api/frontend/latest/fr/downloads/campaigns/144/forms/5;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;105;Schweizerische Volkspartei Oberwallis, Brig;144;Candidats/candidates soutenu(e-s): 17 (liste nominative, voir déclaration des recettes ci-dessous);6;144;Déclaration de libéralités supérieures à 15 000 francs (décompte final);/api/frontend/latest/fr/downloads/campaigns/144/forms/6;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;106;Schweizerische Volkspartei des Bezirkes Winterthur, Hünikon (Neftenbach);141;Candidats/candidates soutenu(e-s): 5 (liste nominative, voir déclaration des recettes ci-dessous);1;141;Déclaration des recettes budgétées;/api/frontend/latest/fr/downloads/campaigns/141/forms/1;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;106;Schweizerische Volkspartei des Bezirkes Winterthur, Hünikon (Neftenbach);141;Candidats/candidates soutenu(e-s): 5 (liste nominative, voir déclaration des recettes ci-dessous);5;141;Déclaration du décompte final des recettes;/api/frontend/latest/fr/downloads/campaigns/141/forms/5;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;106;Schweizerische Volkspartei des Bezirkes Winterthur, Hünikon (Neftenbach);141;Candidats/candidates soutenu(e-s): 5 (liste nominative, voir déclaration des recettes ci-dessous);6;141;Déclaration de libéralités supérieures à 15 000 francs (décompte final);/api/frontend/latest/fr/downloads/campaigns/141/forms/6;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;107;Freisinnig-Demokratische Partei der Stadt Zürich, Zürich;60;Candidats/candidates soutenu(e-s): 19 (liste nominative, voir déclaration des recettes ci-dessous);1;60;Déclaration des recettes budgétées;/api/frontend/latest/fr/downloads/campaigns/60/forms/1;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;107;Freisinnig-Demokratische Partei der Stadt Zürich, Zürich;60;Candidats/candidates soutenu(e-s): 19 (liste nominative, voir déclaration des recettes ci-dessous);2;60;Déclaration de libéralités supérieures à 15 000 francs;/api/frontend/latest/fr/downloads/campaigns/60/forms/2;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;107;Freisinnig-Demokratische Partei der Stadt Zürich, Zürich;60;Candidats/candidates soutenu(e-s): 19 (liste nominative, voir déclaration des recettes ci-dessous);5;60;Déclaration du décompte final des recettes;/api/frontend/latest/fr/downloads/campaigns/60/forms/5;;;;;Financement des campagnes
fr;actors;alphabetical;1;22.10.2023 Élections au Conseil national 2023;;campaign_financing;Personnes morales ou sociétés de personnes;107;Freisinnig-Demokratische Partei der Stadt Zürich, Zürich;60;Candidats/candidates soutenu(e-s): 19 (liste nominative, voir déclaration des recettes ci-dessous);6;60;Déclaration de libéralités supérieures à 15 000 francs (décompte final);/api/frontend/latest/fr/downloads/campaigns/60/forms/6;;;;;Financement des campagnes
