language;campaign_id;form_id;theme;group_by;financing_id;financing_label;financing_year;financing_type;actor_category;actor_id;actor_label;campaign_tree_id;campaign_label;form_label;download_path;budget_or_final;campaign_for;canton;party;financing_category
fr;1;1;campaign_financings;all;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Personnes morales ou sociétés de personnes;46;Die Mitte Kanton Zug, Rotkreuz;1;Candidats/candidates soutenu(e-s): 13 (liste nominative, voir déclaration des recettes ci-dessous);Déclaration des recettes budgétées;/api/frontend/latest/fr/downloads/campaigns/1/forms/1;Montants budgétés;Groupe de candidats/candidates (liste nominative, voir déclaration des recettes ci-dessous);Zoug;Le Centre;Financement des campagnes
fr;1;2;campaign_financings;all;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Personnes morales ou sociétés de personnes;46;Die Mitte Kanton Zug, Rotkreuz;1;Candidats/candidates soutenu(e-s): 13 (liste nominative, voir déclaration des recettes ci-dessous);Déclaration de libéralités supérieures à 15 000 francs;/api/frontend/latest/fr/downloads/campaigns/1/forms/2;Montants budgétés;Groupe de candidats/candidates (liste nominative, voir déclaration des recettes ci-dessous);Zoug;Le Centre;Financement des campagnes
fr;1;5;campaign_financings;all;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Personnes morales ou sociétés de personnes;46;Die Mitte Kanton Zug, Rotkreuz;1;Candidats/candidates soutenu(e-s): 13 (liste nominative, voir déclaration des recettes ci-dessous);Déclaration du décompte final des recettes;/api/frontend/latest/fr/downloads/campaigns/1/forms/5;Montants finaux;Groupe de candidats/candidates (liste nominative, voir déclaration des recettes ci-dessous);Zoug;Le Centre;Financement des campagnes
fr;1;6;campaign_financings;all;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Personnes morales ou sociétés de personnes;46;Die Mitte Kanton Zug, Rotkreuz;1;Candidats/candidates soutenu(e-s): 13 (liste nominative, voir déclaration des recettes ci-dessous);Déclaration de libéralités supérieures à 15 000 francs (décompte final);/api/frontend/latest/fr/downloads/campaigns/1/forms/6;Montants finaux;Groupe de candidats/candidates (liste nominative, voir déclaration des recettes ci-dessous);Zoug;Le Centre;Financement des campagnes
fr;10;1;campaign_financings;all;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Personnes morales ou sociétés de personnes;16;Schweizerische Volkspartei von Appenzell Ausserrhoden, Schönengrund;10;Zuberbühler David (Appenzell Rh.-Ext., Union Démocratique du Centre);Déclaration des recettes budgétées;/api/frontend/latest/fr/downloads/campaigns/10/forms/1;Montants budgétés;Personne individuelle;Appenzell Rh.-Ext.;Union Démocratique du Centre;Financement des campagnes
fr;10;2;campaign_financings;all;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Personnes morales ou sociétés de personnes;16;Schweizerische Volkspartei von Appenzell Ausserrhoden, Schönengrund;10;Zuberbühler David (Appenzell Rh.-Ext., Union Démocratique du Centre);Déclaration de libéralités supérieures à 15 000 francs;/api/frontend/latest/fr/downloads/campaigns/10/forms/2;Montants budgétés;Personne individuelle;Appenzell Rh.-Ext.;Union Démocratique du Centre;Financement des campagnes
fr;10;5;campaign_financings;all;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Personnes morales ou sociétés de personnes;16;Schweizerische Volkspartei von Appenzell Ausserrhoden, Schönengrund;10;Zuberbühler David (Appenzell Rh.-Ext., Union Démocratique du Centre);Déclaration du décompte final des recettes;/api/frontend/latest/fr/downloads/campaigns/10/forms/5;Montants finaux;Personne individuelle;Appenzell Rh.-Ext.;Union Démocratique du Centre;Financement des campagnes
fr;10;6;campaign_financings;all;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Personnes morales ou sociétés de personnes;16;Schweizerische Volkspartei von Appenzell Ausserrhoden, Schönengrund;10;Zuberbühler David (Appenzell Rh.-Ext., Union Démocratique du Centre);Déclaration de libéralités supérieures à 15 000 francs (décompte final);/api/frontend/latest/fr/downloads/campaigns/10/forms/6;Montants finaux;Personne individuelle;Appenzell Rh.-Ext.;Union Démocratique du Centre;Financement des campagnes
fr;100;1;campaign_financings;all;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Personnes morales ou sociétés de personnes;173;Schweizerische Volkspartei Baselland, Liestal;100;Candidats/candidates soutenu(e-s): 7 (liste nominative, voir déclaration des recettes ci-dessous);Déclaration des recettes budgétées;/api/frontend/latest/fr/downloads/campaigns/100/forms/1;Montants budgétés;Groupe de candidats/candidates (liste nominative, voir déclaration des recettes ci-dessous);Bâle-Campagne;Union Démocratique du Centre;Financement des campagnes
fr;100;5;campaign_financings;all;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Personnes morales ou sociétés de personnes;173;Schweizerische Volkspartei Baselland, Liestal;100;Candidats/candidates soutenu(e-s): 7 (liste nominative, voir déclaration des recettes ci-dessous);Déclaration du décompte final des recettes;/api/frontend/latest/fr/downloads/campaigns/100/forms/5;Montants finaux;Groupe de candidats/candidates (liste nominative, voir déclaration des recettes ci-dessous);Bâle-Campagne;Union Démocratique du Centre;Financement des campagnes
