language;campaign_tree_id;candidate_label;party;canton;campaign_for;financing_id;financing_label
fr;1;Candidats/candidates soutenu(e-s): 13 (liste nominative, voir déclaration des recettes ci-dessous), Acteur/trice: Die Mitte Kanton Zug, Rotkreuz;Le Centre;Zoug;Groupe de candidats/candidates (liste nominative, voir déclaration des recettes ci-dessous);1;22.10.2023 Élections au Conseil national 2023
fr;10;Zuberbühler David (Appenzell Rh.-Ext., Union Démocratique du Centre), Acteur/trice: Schweizerische Volkspartei von Appenzell Ausserrhoden, Schönengrund;Union Démocratique du Centre;Appenzell Rh.-Ext.;Personne individuelle;1;22.10.2023 Élections au Conseil national 2023
fr;100;Candidats/candidates soutenu(e-s): 7 (liste nominative, voir déclaration des recettes ci-dessous), Acteur/trice: Schweizerische Volkspartei Baselland, Liestal;Union Démocratique du Centre;Bâle-Campagne;Groupe de candidats/candidates (liste nominative, voir déclaration des recettes ci-dessous);1;22.10.2023 Élections au Conseil national 2023
fr;101;Schneeberger Daniela (Bâle-Campagne, PLR.Les Libéraux-Radicaux), Acteur/trice: Schneeberger Daniela, Thürnen;PLR.Les Libéraux-Radicaux;Bâle-Campagne;Personne individuelle;1;22.10.2023 Élections au Conseil national 2023
fr;102;Candidats/candidates soutenu(e-s): 10 (liste nominative, voir déclaration des recettes ci-dessous), Acteur/trice: Parti libéral-radical neuchâtelois, Neuchâtel;PLR.Les Libéraux-Radicaux;Neuchâtel;Groupe de candidats/candidates (liste nominative, voir déclaration des recettes ci-dessous);1;22.10.2023 Élections au Conseil national 2023
fr;103;Nantermod Philippe (Valais, PLR.Les Libéraux-Radicaux), Acteur/trice: Association libérale-radicale des districts de Monthey et de St-Maurice, Vouvry;PLR.Les Libéraux-Radicaux;Valais;Personne individuelle;1;22.10.2023 Élections au Conseil national 2023
fr;104;Brunner Hansjörg (Thurgovie, PLR.Les Libéraux-Radicaux), Acteur/trice: Brunner Hansjörg, Wallenwil;PLR.Les Libéraux-Radicaux;Thurgovie;Personne individuelle;1;22.10.2023 Élections au Conseil national 2023
fr;105;Candidats/candidates soutenu(e-s): 12 (liste nominative, voir déclaration des recettes ci-dessous), Acteur/trice: FDP.Die Liberalen Kanton Solothurn, Solothurn;PLR.Les Libéraux-Radicaux;Soleure;Groupe de candidats/candidates (liste nominative, voir déclaration des recettes ci-dessous);1;22.10.2023 Élections au Conseil national 2023
fr;106;Matter Thomas (Zurich, Union Démocratique du Centre), Acteur/trice: Matter Thomas, Meilen;Union Démocratique du Centre;Zurich;Personne individuelle;1;22.10.2023 Élections au Conseil national 2023
fr;107;Martullo Magdalena (Grisons, Union Démocratique du Centre), Acteur/trice: Martullo Magdalena, Meilen;Union Démocratique du Centre;Grisons;Personne individuelle;1;22.10.2023 Élections au Conseil national 2023
fr;108;Candidats/candidates soutenu(e-s): 36 (liste nominative, voir déclaration des recettes ci-dessous), Acteur/trice: Schweizerische Volkspartei des Kantons Zürich, Dübendorf;Union Démocratique du Centre;Zurich;Groupe de candidats/candidates (liste nominative, voir déclaration des recettes ci-dessous);1;22.10.2023 Élections au Conseil national 2023
fr;109;Kandidierende der SVP Schweiz (dans toute la Suisse, Union Démocratique du Centre), Acteur/trice: Union Démocratique du Centre (UDC), Bern;Union Démocratique du Centre;dans toute la Suisse;Groupement politique de candidats/candidates (saisie nominative pas possible);1;22.10.2023 Élections au Conseil national 2023
