language;financing_id;financing_type;label;year;date
fr;1;campaign_financing;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023
fr;10;campaign_financing;22.09.2024 Pour l’avenir de notre nature et de notre paysage (Initiative biodiversité);;22.09.2024
fr;11;campaign_financing;22.09.2024 Loi fédérale sur la prévoyance professionnelle vieillesse, survivants et invalidité (LPP) (Réforme de la prévoyance professionnelle);;22.09.2024
fr;12;campaign_financing;24.11.2024 Arrêté fédéral 29 septembre 2023 sur l’étape d’aménagement 2023 des routes nationales;2024;24.11.2024
fr;13;campaign_financing;24.11.2024 Modification du 29 septembre 2023 du code des obligations (droit du bail: sous-location);;24.11.2024
fr;14;campaign_financing;24.11.2024 Modification du 29 septembre 2023 du code des obligations (droit du bail: résiliation pour besoin propre);;24.11.2024
fr;15;campaign_financing;24.11.2024 Modification du 22 décembre 2023 de la loi fédérale sur l’assurance-maladie (financement uniforme des prestations);;24.11.2024
fr;16;campaign_financing;09.02.2025 Pour une économie responsable respectant les limites planétaires (initiative pour la responsabilité environnementale);;09.02.2025
fr;18;campaign_financing;28.09.2025 Arrêté fédéral du 20 décembre 2024 relatif à l’impôt immobilier cantonal sur les résidences secondaires;;28.09.2025
fr;19;campaign_financing;28.09.2025 Loi fédérale du 20 décembre 2024 sur l’identité électronique et d’autres moyens de preuves électroniques (Loi sur l’e-ID, LeID);;28.09.2025
fr;2;campaign_financing;22.10.2023 Élections au Conseil des États 2023;;22.10.2023
fr;20;campaign_financing;30.11.2025 Pour une suisse qui s’engage (initiative service citoyen);2025;30.11.2025
fr;21;campaign_financing;30.11.2025 Pour une politique climatique sociale financée de manière juste fiscalement (initiative pour l’avenir);;30.11.2025
fr;22;campaign_financing;29.06.2025 Élection au Conseil des États (Schaffhouse);;29.06.2025
fr;23;campaign_financing;08.03.2026 Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets (l’argent liquide, c’est la liberté) et contre-projet direct, à savoir l’arrêté fédéral sur la monnaie suisse et l’approvisionnement en numéraire;;08.03.2026
fr;24;campaign_financing;08.03.2026 200 francs, ça suffit ! (initiative SSR);;08.03.2026
fr;25;campaign_financing;08.03.2026 Pour une politique énergétique et climatique équitable : investir pour la prospérité, le travail et l’environnement (initiative pour un fonds climat);;08.03.2026
fr;26;campaign_financing;08.03.2026 Loi fédérale du 20 juin 2025 sur l’imposition individuelle;;08.03.2026
fr;27;campaign_financing;08.03.2026 Élection au Conseil national (Appenzell Rhodes-Extérieures);;08.03.2026
fr;28;campaign_financing;14.06.2026 Pas de Suisse à 10 millions ! (initiative pour la durabilité);;14.06.2026
fr;29;campaign_financing;14.06.2026 Modification du 26 septembre 2025 de la loi fédérale sur le service civil (LSC);;14.06.2026
fr;3;campaign_financing;03.03.2024 Mieux vivre à la retraite (initiative pour une 13e rente AVS);;03.03.2024
fr;31;campaign_financing;27.09.2026 Sauvegarder la neutralité suisse (initiative sur la neutralité);2026;27.09.2026
fr;32;campaign_financing;27.09.2026 Pour une alimentation sûre – grâce au renforcement de la protection indigène durable, à davantage de denrées alimentaires végétales et à une eau potable propre (initiative sur l’alimentation);;27.09.2026
fr;4;campaign_financing;03.03.2024 Pour une prévoyance vieillesse sûre et pérenne (initiative sur les rentes);;03.03.2024
fr;5;campaign_financing;09.06.2024 Maximum 10 % du revenu pour les primes d’assurance-maladie (initiative d’allègement des primes);;09.06.2024
fr;6;campaign_financing;09.06.2024 Pour des primes plus basses. Frein aux coûts dans le système de santé (initiative pour un frein aux coûts);;09.06.2024
fr;7;campaign_financing;09.06.2024 Pour la liberté et l’intégrité physique;;09.06.2024
fr;8;campaign_financing;09.06.2024 Loi fédérale du 29 septembre 2023 relative à un approvisionnement en électricité sûr reposant sur des énergies renouvelables (modification de la loi sur l’énergie et de la loi sur l’approvisionnement en électricité);;09.06.2024
fr;17;party_financing;2024;;
fr;9;party_financing;2023;;
