language;declaration_id;candidate_seq;last_name;first_name;canton;party_affiliation;candidate_group
it;elections-1-B-001;1;Hegglin;Peter;Zugo;Alleanza del Centro;
it;elections-1-B-001;2;Pfister;Gerhard;Zugo;Alleanza del Centro;
it;elections-1-B-001;3;Käch;Manuela;Zugo;Alleanza del Centro;
it;elections-1-B-001;4;Rust;Peter;Zugo;Alleanza del Centro;
it;elections-1-B-001;5;Barmet;Monika;Zugo;Alleanza del Centro;
it;elections-1-B-001;6;Abramovic;Ivan;Zugo;Alleanza del Centro;
it;elections-1-B-001;7;Battiston;Gabriele;Zugo;Alleanza del Centro;
it;elections-1-B-001;8;Meierhans;Lena;Zugo;Alleanza del Centro;
it;elections-1-B-001;9;Röösli;Flavia;Zugo;Alleanza del Centro;
it;elections-1-B-001;10;Iten;Patrick;Zugo;Alleanza del Centro;
it;elections-1-B-001;11;Wiederkehr;Roger;Zugo;Alleanza del Centro;
it;elections-1-B-001;12;Kremmel;Corina;Zugo;Alleanza del Centro;
it;elections-1-B-001;13;Ebneter;Matthias;Zugo;Alleanza del Centro;
it;elections-1-B-002;1;Paganini;Nicolò;San Gallo;Alleanza del Centro;
it;elections-1-B-003;1;Häberli-Koller;Brigitte;Turgovia;Alleanza del Centro;
it;elections-1-B-003;2;Stark;Jakob;Turgovia;Unione democratica di Centro;
it;elections-1-B-003;3;Brunner;Hansjörg;Turgovia;PLR.I Liberali Radicali;
it;elections-1-B-003;4;Gutjahr;Diana;Turgovia;Unione democratica di Centro;
it;elections-1-B-003;5;Hollenstein;Roland;Turgovia;Alleanza del Centro;
it;elections-1-B-003;6;Leu;Thomas;Turgovia;PLR.I Liberali Radicali;
it;elections-1-B-003;7;Lohr;Christian;Turgovia;Alleanza del Centro;
it;elections-1-B-003;8;Macedo;Gabriel;Turgovia;PLR.I Liberali Radicali;
it;elections-1-B-003;9;Mader;Christian;Turgovia;Unione Democratica Federale;
it;elections-1-B-003;10;Madörin;Lukas;Turgovia;Unione Democratica Federale;
it;elections-1-B-003;11;Schenk;Peter;Turgovia;Unione Democratica Federale;
it;elections-1-B-003;12;Schmid;Pascal;Turgovia;Unione democratica di Centro;
it;elections-1-B-003;13;Stähl;Michèle;Turgovia;PLR.I Liberali Radicali;
it;elections-1-B-003;14;Strupler;Manuel;Turgovia;Unione democratica di Centro;
it;elections-1-B-003;15;Vietze;Kristiane;Turgovia;PLR.I Liberali Radicali;
it;elections-1-B-004;1;Feller;Olivier;Vaud;PLR.I Liberali Radicali;
it;elections-1-B-005;1;Gutjahr;Diana;Turgovia;Unione democratica di Centro;
it;elections-1-B-005;2;Strupler;Manuel;Turgovia;Unione democratica di Centro;
it;elections-1-B-005;3;Schmid;Pascal;Turgovia;Unione democratica di Centro;
it;elections-1-B-005;4;Bachmann;Eveline;Turgovia;Unione democratica di Centro;
