language;campaign_tree_id;candidate_label;party;canton;campaign_for;financing_id;financing_label
it;1;Candidati sostenuti: 13 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Die Mitte Kanton Zug, Rotkreuz;Alleanza del Centro;Zugo;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;10;Zuberbühler David (Appenzello Esterno, Unione democratica di Centro), Attore/trice: Schweizerische Volkspartei von Appenzell Ausserrhoden, Schönengrund;Unione democratica di Centro;Appenzello Esterno;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;100;Candidati sostenuti: 7 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Schweizerische Volkspartei Baselland, Liestal;Unione democratica di Centro;Basilea-Campagna;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;101;Schneeberger Daniela (Basilea-Campagna, PLR.I Liberali Radicali), Attore/trice: Schneeberger Daniela, Thürnen;PLR.I Liberali Radicali;Basilea-Campagna;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;102;Candidati sostenuti: 10 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Parti libéral-radical neuchâtelois, Neuchâtel;PLR.I Liberali Radicali;Neuchâtel;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;103;Nantermod Philippe (Vallese, PLR.I Liberali Radicali), Attore/trice: Association libérale-radicale des districts de Monthey et de St-Maurice, Vouvry;PLR.I Liberali Radicali;Vallese;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;104;Brunner Hansjörg (Turgovia, PLR.I Liberali Radicali), Attore/trice: Brunner Hansjörg, Wallenwil;PLR.I Liberali Radicali;Turgovia;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;105;Candidati sostenuti: 12 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: FDP.Die Liberalen Kanton Solothurn, Solothurn;PLR.I Liberali Radicali;Soletta;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;106;Matter Thomas (Zurigo, Unione democratica di Centro), Attore/trice: Matter Thomas, Meilen;Unione democratica di Centro;Zurigo;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;107;Martullo Magdalena (Grigioni, Unione democratica di Centro), Attore/trice: Martullo Magdalena, Meilen;Unione democratica di Centro;Grigioni;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;108;Candidati sostenuti: 36 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Schweizerische Volkspartei des Kantons Zürich, Dübendorf;Unione democratica di Centro;Zurigo;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;109;Kandidierende der SVP Schweiz (in tutta la Svizzera, Unione democratica di Centro), Attore/trice: Unione Democratica di Centro (UDC), Bern;Unione democratica di Centro;in tutta la Svizzera;Gruppo di candidati (non é possibile inserire i dettagli di ogni candidato);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;11;Candidati sostenuti: 36 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Jungsozialist*innen des Kantons Zürich, Zürich;Altri partiti politici;Zurigo;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;110;Wyss Andreas (Berna, PLR.I Liberali Radicali), Attore/trice: Wyss Andreas, Kirchberg;PLR.I Liberali Radicali;Berna;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;111;Candidati sostenuti: 5 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Parti socialiste neuchâtelois, Neuchâtel;Partito socialista svizzero;Neuchâtel;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;112;Balmer Bettina (Zurigo, PLR.I Liberali Radicali), Attore/trice: Balmer Bettina, Zürich;PLR.I Liberali Radicali;Zurigo;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;113;Candidati sostenuti: 9 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Sozialdemokratische Partei des Kantons Luzern, Luzern;Partito socialista svizzero;Lucerna;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;114;Regazzi Fabio (Ticino, Alleanza del Centro), Attore/trice: Regazzi Fabio, Gordola;Alleanza del Centro;Ticino;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;116;Perspektive Schweiz (in tutta la Svizzera, Altri partiti politici), Attore/trice: IG der Wirtschaftsverbände, Zürich;Altri partiti politici;in tutta la Svizzera;Gruppo di candidati (non é possibile inserire i dettagli di ogni candidato);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;117;Bulliard-Marbach Christine  (Friburgo, Alleanza del Centro), Attore/trice: Bulliard-Marbach Christine, Ueberstorf;Alleanza del Centro;Friburgo;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;118;Candidati sostenuti: 42 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Die Mitte Kanton Solothurn, Solothurn;Alleanza del Centro;Soletta;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;119;Candidati sostenuti: 24 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: GRÜNE Kanton Bern, Bern;VERDI Svizzeri;Berna;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;12;Borer-Mathys Barbara (Argovia, Unione democratica di Centro), Attore/trice: Borer-Mathys Barbara, Holziken;Unione democratica di Centro;Argovia;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;120;Candidati sostenuti: 8 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Parti socialiste du Valais romand, Sion;Partito socialista svizzero;Vallese;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;122;Steiner Adrian (Lucerna, Alleanza del Centro), Attore/trice: Steiner Adrian, Weggis;Alleanza del Centro;Lucerna;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;123;Candidati sostenuti: 12 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Grünliberale Partei Kanton St. Gallen, Wil;Partito Verde liberale;San Gallo;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;125;Grüter Arno (Zugo, PLR.I Liberali Radicali), Attore/trice: Komitee Arno Grüter, Cham;PLR.I Liberali Radicali;Zugo;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;126;Riniker Maja (Argovia, PLR.I Liberali Radicali), Attore/trice: Riniker Maja, Suhr;PLR.I Liberali Radicali;Argovia;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;127;Candidati sostenuti: 12 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Freisinnig-Demokratische Partei des Kantons St. Gallen, St. Gallen;PLR.I Liberali Radicali;San Gallo;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;129;Candidati sostenuti: 4 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Schweizerische Volkspartei Kanton Schwyz, Steinen;Unione democratica di Centro;Svitto;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;13;Candidati sostenuti: 16 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Schweizerische Volkspartei Aargau, Staufen;Partito evangelico svizzero;Argovia;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;130;Candidati sostenuti: 16 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: FDP.Die Liberalen Aargau, Aarau;PLR.I Liberali Radicali;Argovia;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;131;Albrecht Natacha (Vallese, PLR.I Liberali Radicali), Attore/trice: Albrecht Natacha, Miège;PLR.I Liberali Radicali;Vallese;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;132;Candidati sostenuti: 4 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Schweizerische Volkspartei Basel-Stadt, Basel;Unione democratica di Centro;Basilea-Città;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;133;Berner Yannick (Argovia, PLR.I Liberali Radicali), Attore/trice: Berner Yannick, Aarau;PLR.I Liberali Radicali;Argovia;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;134;Strupler Manuel (Turgovia, Unione democratica di Centro), Attore/trice: Strupler Manuel, Weinfelden;Unione democratica di Centro;Turgovia;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;135;Candidati sostenuti: 18 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Schweizerische Volkspartei des Kantons und Freistaates Zug, Zug;Unione democratica di Centro;Zugo;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;136;Candidati sostenuti: 12 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Schweizerische Volkspartei des Kantons St. Gallen, St. Gallen;Unione democratica di Centro;San Gallo;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;137;Sollberger Sandra (Basilea-Campagna, Unione democratica di Centro), Attore/trice: Sollberger Sandra, Liestal;Unione democratica di Centro;Basilea-Campagna;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;138;Candidati sostenuti: 12 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: FDP.Die Liberalen Basel-Stadt, Basel;PLR.I Liberali Radicali;Basilea-Città;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;139;"Klimademo vom 30. September 2023; parteipolitisch neutral will die Klima-Allianz Schweiz die Bevölkerung und die Politik an die Notwendigkeit des raschen Handelns beim Klimaschutz erinnern (in tutta la Svizzera, Indipendente), Attore/trice: Klima-Allianz Schweiz, Genf";Indipendente;in tutta la Svizzera;Gruppo di candidati (non é possibile inserire i dettagli di ogni candidato);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;14;Candidati sostenuti: 12 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Kantonaler Gewerbeverband St. Gallen, St. Gallen;Alleanza del Centro;San Gallo;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;140;Ursprung Jasmin (Lucerna, Unione democratica di Centro), Attore/trice: Schweizerische Volkspartei Ortspartei Udligenswil, Udligenswil;Unione democratica di Centro;Lucerna;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;141;Candidati sostenuti: 5 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Schweizerische Volkspartei des Bezirkes Winterthur, Hünikon (Neftenbach);Unione democratica di Centro;Zurigo;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;142;Freiermuth Sabina (Argovia, PLR.I Liberali Radicali), Attore/trice: Freiermuth Sabine, Zofingen;PLR.I Liberali Radicali;Argovia;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;143;Candidati sostenuti: 28 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Grünliberale Partei Basel-Stadt, Riehen;Partito Verde liberale;Basilea-Città;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;144;Candidati sostenuti: 17 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Schweizerische Volkspartei Oberwallis, Brig;Unione democratica di Centro;Vallese;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;145;Candidati sostenuti: 37 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Sozialdemokratische Partei des Kantons Zürich, Zürich;Partito socialista svizzero;Zurigo;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;146;Candidati sostenuti: 43 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Parti vert'libéral genevois, Genève;Partito Verde liberale;Ginevra;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;147;Candidati sostenuti: 6 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Le Centre Valais romand, Sion;Alleanza del Centro;Vallese;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;149;Matter Michel (Ginevra, Partito Verde liberale), Attore/trice: Parti vert'libéral genevois, Genève;Partito Verde liberale;Ginevra;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;150;Candidati sostenuti: 12 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Parti socialiste genevois, Genève;Partito socialista svizzero;Ginevra;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;151;Nussbaumer Jill (Zugo, PLR.I Liberali Radicali), Attore/trice: Jill Nussbaumer in den Nationalrat, Zug;PLR.I Liberali Radicali;Zugo;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;152;Candidati sostenuti: 38 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Union démocratique du centre du Canton de Vaud, Lausanne;Unione democratica di Centro;Vaud;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;153;Wahlen 2023 - Umweltrating, Information und Mobilisierung (keine finanzielle Unterstützung von Parteien oder Kandidierenden) (in tutta la Svizzera, Indipendente), Attore/trice: WWF Svizzera, Zurigo;Indipendente;in tutta la Svizzera;Gruppo di candidati (non é possibile inserire i dettagli di ogni candidato);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;155;Gartmann Walter (San Gallo, Unione democratica di Centro), Attore/trice: Gartmann Walter, Mädris - Mels;Unione democratica di Centro;San Gallo;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;156;Kandidierende Junge Grüne Schweiz (in tutta la Svizzera, VERDI Svizzeri), Attore/trice: Giovani Verdi Svizzera, Berna;VERDI Svizzeri;in tutta la Svizzera;Gruppo di candidati (non é possibile inserire i dettagli di ogni candidato);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;157;Candidati sostenuti: 36 (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante), Attore/trice: Parti vert'libéral vaudois, Pully;Partito Verde liberale;Vaud;Gruppo di candidati (per l’elenco dei nomi, vedere la comunicazione delle entrate sottostante);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;158;EVP Schweiz (in tutta la Svizzera, Partito evangelico svizzero), Attore/trice: Evangelische Volkspartei der Schweiz, Bern;Partito evangelico svizzero;in tutta la Svizzera;Gruppo di candidati (non é possibile inserire i dettagli di ogni candidato);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;161;Jon Pult, Franziska Preisig, Renate Rutishauser, Michal Hohl, Tobias Rettich (Grigioni, Partito socialista svizzero), Attore/trice: Sozialdemokratische Partei des Kantons Graubünden, Chur;Partito socialista svizzero;Grigioni;Gruppo di candidati (non é possibile inserire i dettagli di ogni candidato);1;22.10.2023 Elezioni del Consiglio nazionale 2023
it;162;Trummer Andrea (Glarona, Alleanza del Centro), Attore/trice: Trummer Andrea, Glarus;Alleanza del Centro;Glarona;Persona singola;1;22.10.2023 Elezioni del Consiglio nazionale 2023
