language;financing_id;financing_type;label;year;date
it;1;campaign_financing;22.10.2023 Elezioni del Consiglio nazionale 2023;2023;22.10.2023
it;10;campaign_financing;22.09.2024 Per il futuro della nostra natura e del nostro paesaggio (Iniziativa biodiversità);;22.09.2024
it;11;campaign_financing;22.09.2024 Legge federale sulla previdenza professionale per la vecchiaia, i superstiti e l’invalidità (LPP) (Riforma della previdenza professionale);;22.09.2024
it;12;campaign_financing;24.11.2024 Decreto federale del 29 settembre 2023 sulla Fase di potenziamento 2023 delle strade nazionali;2024;24.11.2024
it;13;campaign_financing;24.11.2024 Modifica del 29 settembre 2023 del Codice delle obbligazioni (Diritto di locazione: sublocazione);;24.11.2024
it;14;campaign_financing;24.11.2024 Modifica del 29 settembre 2023 del Codice delle obbligazioni (Diritto di locazione: disdetta per bisogno personale);;24.11.2024
it;15;campaign_financing;24.11.2024 Modifica del 22 dicembre 2023 della legge federale sull’assicurazione malattie (Finanziamento uniforme delle prestazioni);;24.11.2024
it;16;campaign_financing;09.02.2025 Per un’economia responsabile entro i limiti del pianeta (Iniziativa per la responsabilità ambientale);;09.02.2025
it;18;campaign_financing;28.09.2025 Decreto federale del 20 dicembre 2024 concernente l’imposta immobiliare cantonale sulle abitazioni secondarie;;28.09.2025
it;19;campaign_financing;28.09.2025 Legge federale del 20 dicembre 2024 sul mezzo d’identificazione elettronico e altri mezzi di autenticazione elettronici (Legge sull’Id-e, LIdE);;28.09.2025
it;2;campaign_financing;22.10.2023 Elezioni del Consiglio agli Stati 2023;;22.10.2023
it;20;campaign_financing;30.11.2025 Per una Svizzera che si impegna (Iniziativa Servizio civico);2025;30.11.2025
it;21;campaign_financing;30.11.2025 Per una politica climatica sociale finanziata in modo fiscalmente equo (Iniziativa per il futuro);;30.11.2025
it;22;campaign_financing;29.06.2025 Elezione del Consiglio agli Stati (Sciaffusa);;29.06.2025
it;23;campaign_financing;08.03.2026 Sì a una valuta svizzera indipendente e libera con monete o banconote (Il denaro contante è libertà) e il relativo controprogetto diretto «Decreto federale concernente l’unità monetaria svizzera e l’approvvigionamento in numerario;;08.03.2026
it;24;campaign_financing;08.03.2026 200 franchi bastano! (Iniziativa SSR);;08.03.2026
it;25;campaign_financing;08.03.2026 Per una politica energetica e climatica equa: investire per la prosperità, il lavoro e l’ambiente (Iniziativa per un fondo per il clima);;08.03.2026
it;26;campaign_financing;08.03.2026 Legge federale del 20 giugno 2025 sull’imposizione individuale;;08.03.2026
it;27;campaign_financing;08.03.2026 Elezione del Consiglio nazionale (Appenzello Esterno);;08.03.2026
it;28;campaign_financing;14.06.2026 No a una Svizzera da 10 milioni! (Iniziativa per la sostenibilità);;14.06.2026
it;29;campaign_financing;14.06.2026 Modifica del 26 settembre 2025 della legge federale sul servizio civile sostitutivo (Legge sul servizio civile, LSC);;14.06.2026
it;3;campaign_financing;03.03.2024 Vivere meglio la pensione (Iniziativa per una 13esima mensilità AVS);;03.03.2024
it;31;campaign_financing;27.09.2026 Salvaguardia della neutralità svizzera (Iniziativa sulla neutralità);2026;27.09.2026
it;32;campaign_financing;27.09.2026 Per un’alimentazione sicura – mediante il rafforzamento di una produzione nazionale sostenibile, più derrate alimentari vegetali e acqua potabile pulita (Iniziativa sull’alimentazione);;27.09.2026
it;4;campaign_financing;03.03.2024 Per una previdenza vecchiaia sicura e sostenibile (Iniziativa sulle pensioni);;03.03.2024
it;5;campaign_financing;09.06.2024 Al massimo il 10 per cento del reddito per i premi delle casse malati (Iniziativa per premi meno onerosi);;09.06.2024
it;6;campaign_financing;09.06.2024 Per premi più bassi – Freno ai costi nel settore sanitario (Iniziativa per un freno ai costi);;09.06.2024
it;7;campaign_financing;09.06.2024 Per la libertà e l’integrità fisica;;09.06.2024
it;8;campaign_financing;09.06.2024 Legge federale del 29 settembre 2023 su un approvvigionamento elettrico sicuro con le energie rinnovabili (Modifica della legge federale sull’energia e della legge sull’approvvigionamento elettrico);;09.06.2024
it;17;party_financing;2024;;
it;9;party_financing;2023;;
